# meas,ref,error,kp,ki,kd,kpd, u
4.519163856265809298e-01,4.550418302731133458e-01,3.125444646532415938e-03,3.125444646532415938e-02,2.080649991357895745e-01,-9.669764793596158370e-04,3.028746998596454354e-02,2.383524691217541180e-01
4.519403744919442967e-01,4.550418302731133458e-01,3.101455781169049075e-03,3.101455781169049075e-02,2.082976083193772698e-01,-9.595546145346744993e-04,3.005500319715581625e-02,2.383526115165330861e-01
4.519641792346348885e-01,4.550418302731133458e-01,3.077651038478457224e-03,3.077651038478457224e-02,2.085284321472631597e-01,-9.521897076236740531e-04,2.982432067716089819e-02,2.383527528244240579e-01
4.519878012677315815e-01,4.550418302731133458e-01,3.054029005381764250e-03,3.054029005381764250e-02,2.087574843226667753e-01,-9.448813238677189474e-04,2.959540872994992355e-02,2.383528930526166989e-01
4.520112419935163328e-01,4.550418302731133458e-01,3.030588279597012935e-03,3.030588279597012935e-02,2.089847784436365541e-01,-9.376290313900526030e-04,2.936825376458007675e-02,2.383530322082166308e-01
4.520345028035451240e-01,4.550418302731133458e-01,3.007327469568221723e-03,3.007327469568221723e-02,2.092103280038541679e-01,-9.304324011516484916e-04,2.914284229453056874e-02,2.383531702983847367e-01
4.520575850787196259e-01,4.550418302731133458e-01,2.984245194393719824e-03,2.984245194393719824e-02,2.094341463934337177e-01,-9.232910069800759345e-04,2.891916093695712231e-02,2.383533073303908401e-01
4.520804901893599181e-01,4.550418302731133458e-01,2.961340083753427610e-03,2.961340083753427610e-02,2.096562468997152373e-01,-9.162044256116885776e-04,2.869719641192258752e-02,2.383534433116378248e-01
4.521032194952784300e-01,4.550418302731133458e-01,2.938610777834915755e-03,2.938610777834915755e-02,2.098766427080528685e-01,-9.091722367404742045e-04,2.847693554160868334e-02,2.383535782496615518e-01
4.521257743458554357e-01,4.550418302731133458e-01,2.916055927257910074e-03,2.916055927257910074e-02,2.100953469025972076e-01,-9.021940230802272254e-04,2.825836524949887352e-02,2.383537121520960811e-01
4.521481560801152710e-01,4.550418302731133458e-01,2.893674192998074712e-03,2.893674192998074712e-02,2.103123724670720729e-01,-8.952693703934144764e-04,2.804147255958733265e-02,2.383538450266594055e-01
4.521703660268035496e-01,4.550418302731133458e-01,2.871464246309796131e-03,2.871464246309796131e-02,2.105277322855452771e-01,-8.883978675311432482e-04,2.782624459556681806e-02,2.383539768811120951e-01
4.521924055044648227e-01,4.550418302731133458e-01,2.849424768648523010e-03,2.849424768648523010e-02,2.107414391431939038e-01,-8.815791064509248542e-04,2.761266858003430524e-02,2.383541077232282090e-01
4.522142758215202396e-01,4.550418302731133458e-01,2.827554451593106144e-03,2.827554451593106144e-02,2.109535057270633951e-01,-8.748126822166746308e-04,2.740073183371438681e-02,2.383542375607777819e-01
4.522359782763453184e-01,4.550418302731133458e-01,2.805851996768027323e-03,2.805851996768027323e-02,2.111639446268209763e-01,-8.680981930031528293e-04,2.719042177467712040e-02,2.383543664014980967e-01
4.522575141573472735e-01,4.550418302731133458e-01,2.784316115766072297e-03,2.784316115766072297e-02,2.113727683355034193e-01,-8.614352400782010477e-04,2.698172591758252192e-02,2.383544942530859412e-01
4.522788847430419534e-01,4.550418302731133458e-01,2.762945530071392319e-03,2.762945530071392319e-02,2.115799892502587820e-01,-8.548234277871991083e-04,2.677463187292672409e-02,2.383546211231855061e-01
4.523000913021303360e-01,4.550418302731133458e-01,2.741738970983009782e-03,2.741738970983009782e-02,2.117856196730824869e-01,-8.482623635353014890e-04,2.656912734629479633e-02,2.383547470193772833e-01
4.523211350935743558e-01,4.550418302731133458e-01,2.720695179538989983e-03,2.720695179538989983e-02,2.119896718115479028e-01,-8.417516577607919714e-04,2.636520013762910786e-02,2.383548719491770107e-01
4.523420173666720112e-01,4.550418302731133458e-01,2.699812906441334537e-03,2.699812906441334537e-02,2.121921577795310154e-01,-8.352909239062178415e-04,2.616283814050712753e-02,2.383549959200381430e-01
4.523627393611319158e-01,4.550418302731133458e-01,2.679090911981429901e-03,2.679090911981429901e-02,2.123930895979296019e-01,-8.288797783961854293e-04,2.596202934141811358e-02,2.383551189393477154e-01
4.523833023071471837e-01,4.550418302731133458e-01,2.658527965966162032e-03,2.658527965966162032e-02,2.125924791953770765e-01,-8.225178406107147566e-04,2.576276181905090557e-02,2.383552410144279821e-01
4.524037074254685931e-01,4.550418302731133458e-01,2.638122847644752689e-03,2.638122847644752689e-02,2.127903384089504246e-01,-8.162047328563737381e-04,2.556502374359115315e-02,2.383553621525415778e-01
4.524239559274773059e-01,4.550418302731133458e-01,2.617874345636039823e-03,2.617874345636039823e-02,2.129866789848731401e-01,-8.099400803485146128e-04,2.536880337601188362e-02,2.383554823608850237e-01
4.524440490152567551e-01,4.550418302731133458e-01,2.597781257856590642e-03,2.597781257856590642e-02,2.131815125792123622e-01,-8.037235111779672536e-04,2.517408906738793917e-02,2.383556016466003014e-01
4.524639878816640315e-01,4.550418302731133458e-01,2.577842391449314263e-03,2.577842391449314263e-02,2.133748507585710441e-01,-7.975546562910551529e-04,2.498086925820208748e-02,2.383557200167731316e-01
4.524837737104009383e-01,4.550418302731133458e-01,2.558056562712407445e-03,2.558056562712407445e-02,2.135667050007745149e-01,-7.914331494762727459e-04,2.478913247764780170e-02,2.383558374784223166e-01
4.525034076760839352e-01,4.550418302731133458e-01,2.538422597029410532e-03,2.538422597029410532e-02,2.137570866955517124e-01,-7.853586273198764900e-04,2.459886734297422883e-02,2.383559540385259412e-01
4.525228909443140823e-01,4.550418302731133458e-01,2.518939328799263411e-03,2.518939328799263411e-02,2.139460071452116696e-01,-7.793307292058848645e-04,2.441006255878674924e-02,2.383560697039984189e-01
4.525422246717460406e-01,4.550418302731133458e-01,2.499605601367305141e-03,2.499605601367305141e-02,2.141334775653142009e-01,-7.733490972783307882e-04,2.422270691639472062e-02,2.383561844817089215e-01
4.525614100061569611e-01,4.550418302731133458e-01,2.480420266956384623e-03,2.480420266956384623e-02,2.143195090853359241e-01,-7.674133764368207267e-04,2.403678929312702550e-02,2.383562983784629496e-01
4.525804480865143753e-01,4.550418302731133458e-01,2.461382186598970456e-03,2.461382186598970456e-02,2.145041127493308442e-01,-7.615232142965666640e-04,2.385229865169313790e-02,2.383564114010239821e-01
4.525993400430439184e-01,4.550418302731133458e-01,2.442490230069427337e-03,2.442490230069427337e-02,2.146872995165860498e-01,-7.556782611817247641e-04,2.366922403951254861e-02,2.383565235560985984e-01
4.526180869972963317e-01,4.550418302731133458e-01,2.423743275817014098e-03,2.423743275817014098e-02,2.148690802622723051e-01,-7.498781700965295727e-04,2.348755458807361141e-02,2.383566348503459165e-01
4.526366900622140754e-01,4.550418302731133458e-01,2.405140210899270325e-03,2.405140210899270325e-02,2.150494657780897545e-01,-7.441225967097508942e-04,2.330727951228295236e-02,2.383567452903727069e-01
4.526551503421973877e-01,4.550418302731133458e-01,2.386679930915958092e-03,2.386679930915958092e-02,2.152284667729084389e-01,-7.384111993324893319e-04,2.312838810982709159e-02,2.383568548827355305e-01
4.526734689331699535e-01,4.550418302731133458e-01,2.368361339943392263e-03,2.368361339943392263e-02,2.154060938734042030e-01,-7.327436389026331653e-04,2.295086976053128947e-02,2.383569636339354925e-01
4.526916469226437423e-01,4.550418302731133458e-01,2.350183350469603472e-03,2.350183350469603472e-02,2.155823576246894135e-01,-7.271195789515516594e-04,2.277471392574448306e-02,2.383570715504338966e-01
4.527096853897837336e-01,4.550418302731133458e-01,2.332144883329612117e-03,2.332144883329612117e-02,2.157572684909391247e-01,-7.215386855996541726e-04,2.259991014769646700e-02,2.383571786386355917e-01
